Company Name,Job Title,Job Description,Job Date,Scraping data from page
Kyosk Digital Services,Risk Manager,"A kiosk is an informal convenience store selling everyday household items. Known locally by their vernacular names e.g. Duka in Kenya, Spaza in South Africa, Kantemba in Zambia. kiosk-type retail outlets are the cornerstone of African retail, accounting for over 60% of all retail trade flows. Despite their importance, kiosk-type retail outlets face significant challenges, including high cost of stock and unreliable delivery.Â",05 June,10.0
KCB Bank Kenya,Cybersecurity Analyst DevSecOps,"Kenya Commercial Bank Limited is registered as a non-operating holding company which started operations as a licensed banking institution with effect from January 1, 2016. The holding company oversees...",02 June,12.0
UNICEF,Innovation Manager (African Drone & Data Academy),"UNICEF is the world’s largest provider of vaccines for developing countries, UNICEF supports child health and nutrition, good water and sanitation, quality basic education for all boys and girls...",02 June,12.0
Church of Jesus Christ of Latter-day Saints,"Analyst, Financial, Sr","The Church of Jesus Christ of Latter-day Saints is a worldwide faith of over 16 million members centered on the belief that everyone on earth is a son or daughter of a loving God1 and that His Son, Jesus Christ, saved the world from sin and death. Jesus Christ invites all of God's children to come unto, follow, and become more like Him.",02 June,12.0
Bioversity International,Research Associate- Plant Breeding,"Who we are
Our vision and mission, history, and staff profiles.
Where we work
Find out where Bioversity International carries out its research
The Alliance of Bioversity International and CIAT...",02 June,13.0
Co-operative Bank of Kenya,Database Administrator,"The Co-operative Bank of Kenya Limited is incorporated in Kenya under the Company Act and is also licensed to do the business of banking under the Banking Act.
The Bank was initially registered und...",02 June,13.0
World Bank Group,Associate Investment Officer,The World Bank Group (WBG) is a family of five international organizations that make leveraged loans to developing countries. It is the largest and most famous development bank in the world and is an...,02 June,14.0
Citi,IRAU Credit Risk Team Lead (C13 – Vice President),"Citibank N.A. Kenya has been operating in Kenya since 1974 and has two branches in Nairobi and Mombasa, serving Corporate and Institutional clients. Citibank Kenya is the regional hub for the Citi Eas...",02 June,14.0
International Organization for Migration (IOM),Operations and Reporting Officer (CCCM),"Established in 1951, IOM is the leading inter-governmental organization in the field of migration and works closely with governmental, intergovernmental and non-governmental partners. With 165 member...",01 June,14.0
Rainforest Alliance,"Manager, Financial Planning & Analysis",The Rainforest Alliance is a growing network of people who are inspired and committed to working together to achieve our mission of conserving biodiversity and ensuring sustainable livelihoods. Throug...,01 June,14.0
World Bank Group,Resource Management Analyst,The World Bank Group (WBG) is a family of five international organizations that make leveraged loans to developing countries. It is the largest and most famous development bank in the world and is an...,01 June,15.0
Britam,Quality Assurance & Reporting Analyst,"Britam is a leading diversified financial services group, listed on the Nairobi Securities Exchange. The group has interests across the Eastern and Southern Africa region, with operations in Kenya, Ug...",01 June,15.0
Cytonn Investments,Senior Finance Analyst,"Cytonn Investments is an investments and real estate company, with offices in Nairobi - Kenya and DC Metro area - U.S. We are primarily focused on offering alternative investment solutions to global i...",31 May,16.0
Peoplelink Consultants Ltd,Office Admin/ Marketer,Peoplelink Consultants Ltd is a consultancy services company incorporated under the laws of Kenya.,31 May,16.0
748 Air Services (K) Ltd,Marketing Manager,"748 Air Services (K) Ltd is an Air Charter Company that holds an Air Operator Certificate and an imbedded Aircraft Maintenance Organization; both authorized by the Kenya Civil Aviation Authority.
S...",31 May,16.0
HCS Africa,General Operations Officer,"The name HCS Africa is derived from carefully selected words: 'Human’, referring to our people-oriented approach, 'Capital’, referring to our commitment of increase in profit, and 'Synergi...",31 May,16.0
TechnoServe Kenya,Market Linkages Associate,"TechnoServe works with enterprising people in the developing world to build competitive farms, businesses and industries. We are a nonprofit organization that develops business solutions to poverty by...",31 May,16.0
Branch,Credit Analyst,"Our mission is to deliver world-class financial services to the mobile generation
Life moves faster than the pace of bank queues. Your smartphone is making the world a smaller place-and a faster on...",31 May,17.0
Safaricom Kenya,Principal Officer-Financial Planning and Analysis,"Safaricom is the leading provider of converged communication solutions in Kenya. In addition to providing a broad range of first-class products and services for Telephony, Broadband Internet and Financial services, Safaricom seeks to uplift the welfare of Kenyans through value-added services and support for community projects.",31 May,17.0
Equity Bank Kenya,Senior Business Analyst,"Equity Bank Limited (The ""Bank”) is incorporated, registered under the Kenyan Companies Act Cap 486 and domiciled in Kenya. The address of the Bank’s registered office is 9th Floor, Equit...",30 May,18.0
Ital Global,Financial Advisor,We are a comprehensive Human Capital Consultancy firm dedicated to helping organizations just like yours with their HR activities and work. We believe in creating productive and fruitful relationships...,30 May,18.0
Clinton Health Access Initiative,Management and Financial Systems Analyst,"The Clinton Health Access Initiative, Inc. (CHAI) was founded in 2002 with a transformational goal: help save the lives of millions of people living with HIV/AIDS in the developing world by dramatical...",30 May,18.0
Standard Chartered Bank Kenya,Senior Manager Credit Risk Management Secured,"Standard Chartered Kenya, whose official name is Standard Chartered Bank Kenya Limited, but is sometimes referred to as Stanchart Kenya, is a commercial bank in Kenya.",30 May,19.0
CARE,"Technical Advisor, Research & Evidence",CARE International is a major humanitarian agency delivering emergency relief and long-term international development projects.,30 May,19.0
Kenafric Industries,Sales Data Analyst,"Founded in 1987 by the Chedda family, Kenafric Industries Limited is one of the largest manufacturers of Confectionery, Food, Footwear, and Stationery products in Kenya. Kenafric employs over 1500 peo...",30 May,19.0
Diageo,Financial Controller - Supply Chain,"Diageo is the world’s leading premium drinks company, a business built on the principles and foundations laid by the giants of our industry.",30 May,20.0
Q-Sourcing Servtec Group,QSSK-TAC-FMA-Financial Modeling and Analysis,Q-Sourcing Servtec Group is a global management consulting firm that helps people make significant improvements to their business performance and realize their most important career goals.,30 May,20.0
Sovereign Hotel Limited,Sales and Marketing,"Sovereign Hotel is a 5-star boutique hotel, aiming to offer unprecedented luxury and quality in Kisumu. Located within easy reach of the business district, but away from the bustle of town, it combine...",30 May,20.0
Jumia,Legal Counsel Financial Services,"JUMIA is an e-commerce startup with an aim to mimic Amazon’s success by delivering a wide range of items, from toys to generators across the African continent. Shortly after the startup of the b...",30 May,21.0
Hawi Outdoors,Sales and Marketing Assistant,"About Hawi Outdoors
We are Kenya's premier outdoor gear and apparel brand with an insatiable love for the outdoors and occasional indoor adrenaline high. We are small with big dreams. Our current f...",29 May,21.0
"Check Point Software Technologies, Ltd",Field Marketing Manager,"Check Point Software Technologies Ltd. is an Israeli multinational provider of software and combined hardware and software products for IT security, including network security, endpoint security, mobi...",29 May,21.0
Co-operative Bank of Kenya,Database Administrator,"The Co-operative Bank of Kenya Limited is incorporated in Kenya under the Company Act and is also licensed to do the business of banking under the Banking Act.
The Bank was initially registered und...",29 May,21.0
I&M Bank,Credit Manager,"I&M Bank is a wholly owned subsidiary of I&M Holdings Limited, a publicly quoted company at the Nairobi Securities Exchange (NSE). The bank possesses a rich heritage in banking.",29 May,21.0
Watu Credit Limited,Financial Accounting (FA) Manager,"Watu Credit Limited is a dynamic and fast-growing non-bank finance company. Watu Credit Limited harnesses technology to offer unsecured lending, primarily via mobile services. We aim to become the leading African provider of a broad set of inclusive financial products, delivered through technology in a fast, efficient and professional manner.",29 May,21.0
Cellulant Corporation,Research Analyst (Regulatory),"Cellulant is a digital payments business. We run an ecosystem of consumers, merchants and banks in which we facilitate payments and build value through the value-added services we layer on top. In bui...",29 May,22.0
Strathmore University,Financial Accountant,"Strathmore University is a Chartered University located in Nairobi, Kenya. It was the first multiracial and multi religious educational institution in English speaking Eastern Africa and more recently...",27 May,22.0
Q-Sourcing Servtec Group,Human Resource Analyst,Q-Sourcing Servtec Group is a global management consulting firm that helps people make significant improvements to their business performance and realize their most important career goals.,26 May,23.0
Kingdom Bank Limited,Customer Experience Analyst,"About
Kingdom Bank is a subsidiary of the Co-operative Bank of Kenya, following its acquisition of Kingdom Bank in August 2020. We are now part of a Group with over Kes. 457 Billion total assets and...",26 May,23.0
KCA University (KCAU),Marketing Officer (Content Developer),"KCA University (KCAU) is a private, non-profit institution, founded in July 1989 as Kenya College of Accountancy (KCA) by the Institute of Certified Public Accountants of Kenya (ICPAK) to improve the...",26 May,23.0
South Pole,"Regional Director, Climate Policy, Finance and Carbon Markets","South Pole is an energetic, global company offering comprehensive sustainability solutions and services. With offices spanning all continents across the globe, we strive to create a sustainable societ...",26 May,23.0
Dynasoft Business Solutions,System Support Analyst,"Dynasoft Business Solutions Ltd is a leading business solutions provider based in Nairobi, Kenya with a client base that spans across different industries and sectors. We always seek to consistently c...",26 May,23.0
World Food Programme (WFP),Programme Assistant ( Data Analyst ) G5,The World Food Programme is the food assistance branch of the United Nations and the world's largest humanitarian organization addressing hunger and promoting food security.,26 May,24.0
International Organization for Migration (IOM),Regional M&E and Risk Management Officer,"Established in 1951, IOM is the leading inter-governmental organization in the field of migration and works closely with governmental, intergovernmental and non-governmental partners. With 165 member...",26 May,24.0
UN Women,Programme Coordination Analyst- LEAP III,"In July 2010, the United Nations General Assembly created UN Women, the United Nations Entity for Gender Equality and the Empowerment of Women. In doing so, UN Member States took an historic step in a...",25 May,25.0
BURN,Customer Experience Operations Manager,"BURN designs, manufactures, and distributes aspirational fuel-efficient cooking products that save lives and forests in the developing world.BURN has revolutionized the global cookstove sector by prov...",25 May,25.0
Absa Bank Limited,Fraud Analyst,"Absa Bank Limited (Absa) is a wholly owned subsidiary of Barclays Africa Group Limited. Absa offers personal and business banking, credit cards, corporate and investment banking, wealth and investment management as well as bancassurance.",25 May,25.0
Q-Sourcing Servtec Group,QSSK-WKS-HRA-Human Resource Analyst,Q-Sourcing Servtec Group is a global management consulting firm that helps people make significant improvements to their business performance and realize their most important career goals.,25 May,25.0
Ital Global,Market Researcher,We are a comprehensive Human Capital Consultancy firm dedicated to helping organizations just like yours with their HR activities and work. We believe in creating productive and fruitful relationships...,25 May,25.0
Colgate-Palmolive,Retail Marketing Manager,"Every day, millions of consumers around the world trust our products to care for themselves and the ones they love. Colgate-Palmolive is a global company serving people in over 200 countries and terri...",25 May,25.0
Sun King (Formerly Greenlight Planet),Lead Generator / Data Mining- BD Intern,"Greenlight Planet is on a mission to revolutionize rural energy access for the 1.5 billion off-grid villagers who use dirty, dangerous kerosene lanterns for light. In four years we've sold 1.6 mil...",25 May,26.0
Dedan Kimathi University,Research Intern,Dedan Kimathi University of Technology (DeKUT) was established under the University’s Act 2012 by the Government of Kenya in December 2012. It is a Public University that focuses exclusively on...,24 May,27.0
Tony Blair Institute for Global Change,New Operations & Performance Manager,"The Tony Blair Institute for Global Change supports political leaders and governments to build open, inclusive and prosperous societies in a globalised world. We do this through developing policy and advising governments.",23 May,29.0
Lori Systems,VP of Strategy and Operations,"Lori Systems is a fast growing, technology venture based in Nairobi, Kenya led by Harvard & MIT graduates and backed by local & international investors and advisors. Leveraging 3 years of rese...",23 May,29.0
Sybyl Limited,Intern Junior Business Intelligence Developer,"Sybyl, with over 25 years experience, offers unique capabilities and solutions in the domain of Enterprise IT systems. Our business objective is to provide strategic implementation and operational solutions for enterprise clients.",23 May,30.0
ICEA Lion Group,Research Analyst,"As one of the largest insurers and financial services companies in East Africa, we have decades of experience in helping discerning individuals protect and create their wealth. But that’s not al...",23 May,30.0
United Nations Office at Nairobi (UNON),Data Analysis Assistant,United Nations and regional organizations; provides administrative and other support services to the United Nations Environment Programme (UNEP) and the United Nations Human Settlements Programme (UN-...,23 May,30.0
World Resources Institute (WRI),"Senior Research Associate, Food Program",The World Resources Institute is a global research non-profit organization that was established in 1982 with funding from the MacArthur Foundation under the leadership of James Gustave Speth. WRI...,23 May,30.0
BURN,Customer Experience Business Analyst,"BURN designs, manufactures, and distributes aspirational fuel-efficient cooking products that save lives and forests in the developing world.BURN has revolutionized the global cookstove sector by prov...",23 May,31.0
Kyosk Digital Services,Commercial Analyst,"A kiosk is an informal convenience store selling everyday household items. Known locally by their vernacular names e.g. Duka in Kenya, Spaza in South Africa, Kantemba in Zambia. kiosk-type retail outlets are the cornerstone of African retail, accounting for over 60% of all retail trade flows. Despite their importance, kiosk-type retail outlets face significant challenges, including high cost of stock and unreliable delivery.Â",22 May,32.0
Serena Hotels,Risk Management Officer,"Beyond the bustle of Kenya’s most cosmopolitan metropolis, experience a haven of elegance and calm nestled among lush gardens at the edge of Nairobi’s Central Park. Our Nairobi hotel merge...",22 May,33.0
BURN,Product Business Analyst,"BURN designs, manufactures, and distributes aspirational fuel-efficient cooking products that save lives and forests in the developing world.BURN has revolutionized the global cookstove sector by prov...",22 May,33.0
Mercy Corps,Data Analyst,"Mercy Corps is a global humanitarian aid agency engaged in transitional environments that have experienced some sort of shock: natural disaster, economic collapse, or conflict.",20 May,33.0
Thermo Fisher Scientific,Principal Programmer Analyst - CDISC SDTM Specialist using SAS,"Thermo Fisher Scientific Inc. (NYSE: TMO) is the world leader in serving science, with revenues of more than $24 billion and approximately 70,000 employees globally. Our mission is to enable our customers to make the world healthier, cleaner and safer. We help our customers accelerate life sciences research, solve complex analytical challenges, improve patient diagnostics, deliver medicines to market and increase laboratory productivity.",20 May,34.0
Binance,Operations Manager - East Africa,Binance is the world’s leading blockchain and cryptocurrency infrastructure provider with a financial product suite that includes the largest digital asset exchange by volume. Trusted by million...,19 May,34.0
NCBA Group,Digital Marketing Officer,The new NCBA has harnessed the power of both NIC and CBA to create a bank that brings together the best of both worlds from cutting edge mobile banking to good old-fashioned relationship management; from scalable business banking to financial services that grow as your business does; from best-in-class choice of products to investment solutions tailored to your specific needs.,19 May,34.0
United Nations Development Programme (UNDP),Portfolio Analyst (Environment and Resilience),"The United Nations Development Programme (UNDP) is the United Nations' global development network. Headquartered in New York City, UNDP advocates for change and connects countries to knowledge, experi...",19 May,34.0
UN-Habitat,Management and Programme Analyst,"The United Nations Human Settlements Programme, UN-Habitat, is the UN agency for human settlements. It is mandated by the UN General Assembly to promote socially and environmentally sustainable towns...",19 May,34.0
Aquantuo,E-Commerce Operations Analyst,"Aquantuo wants to bring the world to the doorstep of every African. While doing this, we also aim to give Africans the opportunity to showcase our rare and often overlooked resources to the world.",19 May,34.0
Standard Chartered Bank Kenya,Financial Markets Sales,"Standard Chartered Kenya, whose official name is Standard Chartered Bank Kenya Limited, but is sometimes referred to as Stanchart Kenya, is a commercial bank in Kenya.",19 May,35.0
Upfield,Marketing Assistant,"Upfield is a company selling multiple brands of margarine and other food spreads, including Flora, Blue Band, Stork, Becel, Country Crock and I C...",19 May,35.0
Sidian Bank,Information Security Analyst,"At Sidian Bank, we recognize the significant accountability and inherent risks that an entrepreneur takes to make his ideas and dreams a reality.
It is for this reason that our mission is to empower entrepreneurs to create wealth through provision of transformational financial solutions that meet entrepreneurs needs and facilitate growth through convenience and choice.",19 May,36.0
Fresh Life,Marketing Intern,"Fresh Life works with municipalities and urban residents to develop and scale safe, citywide inclusive and financially sustainable sanitation solutions in fast growing cities starting with Nairobi, Ki...",19 May,36.0
Wasoko,Business Intelligence Analyst,"Wasoko is transforming communities across Africa by revolutionizing access to essential goods and services. By connecting small shops to the digital economy, we fix inefficient supply chains and provi...",19 May,36.0
InSupply Health,Data Analyst,"InSupply Health, an affiliate of JSI Research & Training Institute, Inc. (JSI), is an independent, supply chain advisory firm based in East Africa that provides our clients with customized guidance on supply chain management and design.Â",19 May,36.0
Gap Recruitment Services Limited,Operations Manager,Gap Recruitment Services Limited is a leading recruitment firm in Kenya where International and local companies find just the right fit talent.,19 May,37.0
ENGIE,Customer Finance - Field Operations Manager,ENGIE is a leading world group that provides low-carbon energy. Our group is a global reference in low-carbon energy and services.,19 May,37.0
PowerGen Renewable Energy,Financial Controller,"PowerGen provides turnkey energy solutions to residential, community, commercial, and industrial customers in East Africa and beyond. Founded in 2011 our focus is on providing robust photo-voltaic and...",18 May,37.0
Flexi-Personnel,Digital Marketing Intern (Fresh Graduate Only),"Flexi Personnel Ltd is a HR Company that was founded in 2008. It is currently the fastest growing HR firm in Kenya offering a wide range of services including Headhunting and Executive selection, Outs...",18 May,37.0
Equity Bank Kenya,Relationship Manager - Marketing,"Equity Bank Limited (The ""Bank”) is incorporated, registered under the Kenyan Companies Act Cap 486 and domiciled in Kenya. The address of the Bank’s registered office is 9th Floor, Equit...",18 May,37.0
Corporate Staffing,Marketing Officer,"Corporate Staffing Services is a leading recruitment agency in Kenya providing complete recruitment services.
In the last ten years we have been partners to local and foreign businesses looking to...",18 May,37.0
Stratostaff,Finance Analyst Associate,"At Stratostaff we design, implement and manage workforce solutions for large, specialized or routine staff complements giving you the opportunity to focus on your core business.",18 May,38.0
Co-operative Bank of Kenya,Business Intelligence (BI) Developer,"The Co-operative Bank of Kenya Limited is incorporated in Kenya under the Company Act and is also licensed to do the business of banking under the Banking Act.
The Bank was initially registered und...",18 May,38.0
Concern Worldwide,Officer Research,We are an international humanitarian organisation dedicated to tackling poverty and suffering in the world’s poorest countries. Concern Worldwide began working in Kenya in May 2002 with the deve...,18 May,38.0
Tala (formerly InVenture),Senior Revenue Analyst,Tala (formerly InVenture) builds mobile products that help creditworthy individuals in emerging markets validate their financial identities and get access to fair credit to advance their businesses an...,18 May,40.0
Thermo Fisher Scientific,Principal Statistical Scientist,"Thermo Fisher Scientific Inc. (NYSE: TMO) is the world leader in serving science, with revenues of more than $24 billion and approximately 70,000 employees globally. Our mission is to enable our customers to make the world healthier, cleaner and safer. We help our customers accelerate life sciences research, solve complex analytical challenges, improve patient diagnostics, deliver medicines to market and increase laboratory productivity.",18 May,40.0
World Resources Institute (WRI),"Senior Crop Data Analyst, Food Program",The World Resources Institute is a global research non-profit organization that was established in 1982 with funding from the MacArthur Foundation under the leadership of James Gustave Speth. WRI...,17 May,40.0
United Nations Development Programme (UNDP),"Operations Associate, Volunteer Deployment","The United Nations Development Programme (UNDP) is the United Nations' global development network. Headquartered in New York City, UNDP advocates for change and connects countries to knowledge, experi...",17 May,40.0
Frank Management Consult Ltd,Operations Manager,"Frank Management Consult Ltd is an international management consulting agency. We work with major companies, raising their performance, driving their strategies and enhancing their productivity.",17 May,40.0
Equity Bank Kenya,Senior Service Desk Analyst,"Equity Bank Limited (The ""Bank”) is incorporated, registered under the Kenyan Companies Act Cap 486 and domiciled in Kenya. The address of the Bank’s registered office is 9th Floor, Equit...",17 May,40.0
GiveDirectly,Research Manager,GiveDirectly is the first - and largest - nonprofit that lets donors like you send money directly to the world’s poorest. We believe people living in poverty deserve the dignity to choose for themselves how best to improve their lives - cash enables that choice.,17 May,40.0
Google,"Product Data Scientist, Search Data Science and Engineering","Google is an American multinational technology company specializing in Internet-related services and products that include online advertising technologies, search, cloud computing, software, and hardw...",17 May,40.0
NetGuardians,Customer Support Analyst,"Founded in 2007, NetGuardians was the first company to emerge from the innovation incubator Y-Parc, in Yverdon-les-Bains, Switzerland. The company now enjoys a solid international presence with a stea...",17 May,41.0
Canonical,Marketing Manager - Americas,"We deliver open source to the world faster, more securely and more cost effectively than any other company. If you're interested in a career at Canonical, we are a remote-first company so please apply to any suitable role as skills are valued more than location, despite some having a preferred geographic preference.",17 May,41.0
Diamond Trust Bank (DTB),Data Engineering Lead,"With over one hundred and thirty branches in Kenya, Tanzania, Uganda, and Burundi, some of which are 24/7 digital branches, DTB is committed to enabling people to advance with confidence and success. The Bank’s heritage and values are articulated in its brand promise, Achieve More, and brought to life through an engaged diverse workforce.",17 May,42.0
Cellulant Corporation,Analyst: Controllership,"Cellulant is a digital payments business. We run an ecosystem of consumers, merchants and banks in which we facilitate payments and build value through the value-added services we layer on top. In bui...",17 May,42.0
Nova Pioneer,School Operations Associate - Tatu Day,Nova Pioneer Education Group is a Pan-African independent school network offering preschool through secondary education for students from ages 3 through 19. We prepare the next generation of leaders a...,17 May,42.0
Cedar Consulting Ltd,Research Monitoring and Evaluation Manager,"We are an advisory and training firm that partners with organisation’s to deliver tailored and bespoke solutions that address the people side of strategic and operational change.
Our goal is...",16 May,43.0
Flexi-Personnel,Trade Analyst,"Flexi Personnel Ltd is a HR Company that was founded in 2008. It is currently the fastest growing HR firm in Kenya offering a wide range of services including Headhunting and Executive selection, Outs...",16 May,43.0
Africa Enterprise Challenge Fund (AECF),Data Analyst,"The AECF provides catalytic funding in the form of repayable and non-repayable grants to businesses that would not otherwise have access to adequate financing.
The AECF is part of the Alliance for...",16 May,43.0
N/A,Credit Officer - Sacco,This company is looking to recruit qualified applicants for Credit Officer - Sacco role,16 May,43.0
BBOXX,Financial Systems Manager,"BBOXX designs, manufactures, distributes and finances innovative plug & play solar systems to improve access to energy across Africa and the developing world. More than 70,000 BBOXX products have...",16 May,44.0
"DAI Kenya - Development Alternatives, Inc.",Senior Grants and Procurement Director - USAID Africa Trade and Investment Program,DAI is a global development company working on the frontlines of international development consulting. We are committed to shaping a more livable world. We tackle fundamental social and economic devel...,15 May,46.0
DKT Healthcare,Regional Marketing Manager,"In 1989, Phil Harvey founded the nonprofit organization DKT International to promote family planning and HIV/AIDS prevention through social marketing.
Today, DKT International designs and implement...",15 May,47.0
PACIS Insurance,Risk and Compliance Officer,"PACIS Insurance Company Limited was incorporated in Kenya in October 2004 and licensed to do business in August 2005
It is an initiative of the Catholic Church with a vision to be the icon of relia...",15 May,47.0
Serena Hotels,ICT Risk Officer,"Beyond the bustle of Kenya’s most cosmopolitan metropolis, experience a haven of elegance and calm nestled among lush gardens at the edge of Nairobi’s Central Park. Our Nairobi hotel merge...",15 May,47.0
Synnefa,Marketing Assistant,"We are a team of passionate minds working together to create lasting solutions to challenges faced by farmers.
Working together with farmers;
We do this by partnering with farmers to provide the...",15 May,47.0
Bidco Africa,Head – Systems & Enterprise Risk Audit,"Bidco Africa Ltd. was originally established as a manufacturing organization, committed to using the most efficient modern technologies to produce a superior range of products. Over the years, Bidco s...",15 May,47.0
Kenya Red Cross Society,Part Time Lecturer - Digital Marketing,"Kenya Red Cross is one of the many International Red Cross and Red Crescent Movement societies around the world.
The Kenya organisation was established in 1965, The Kenya Red Cross supports and runs...",15 May,48.0
R4Kenya,Pricing Analyst for e-commerce Website,"The leading recruitment & training firm, specializing in the placement of candidates with clients around the world.",12 May,49.0
United Nations Development Programme (UNDP),National Information Management Officer (Data Analyst),"The United Nations Development Programme (UNDP) is the United Nations' global development network. Headquartered in New York City, UNDP advocates for change and connects countries to knowledge, experi...",12 May,49.0
Fresh Life,Jr Data Analyst,"Fresh Life works with municipalities and urban residents to develop and scale safe, citywide inclusive and financially sustainable sanitation solutions in fast growing cities starting with Nairobi, Ki...",12 May,49.0
People FOCO,Brand Operations Manager,We are a HR Consultancy firm that is very passionate about people and their contribution towards the growth and success of any organization. We create systems that are streamlined towards the attainme...,12 May,50.0
Regional Centre for Mapping of Resources for Development (RCMRD),Research Assistants,The Regional Centre for Mapping of Resources for Development (RCMRD) was established in 1975 under the auspices of the United Nations Economic Commission for Africa (UNECA) and the African Union (AU)....,12 May,50.0
IOTA Foundation,Technical Business Analyst,"The IOTA Foundation is a not-for-profit organization headquartered in Berlin, Germany. The Foundation's mission is to support the development and standardization of new distributed ledger technologies (DLT) that drive permissionless innovation ecosystems, in particular, the IOTA Tangle.",12 May,51.0
Kenya Network Information Centre (KENIC),Marketing Intern,The Kenya Network Information Centre (KENIC) was established through the facilitation of the Communications Authority of Kenya (CAK).KENIC is the entity charged with the management and the administrat...,12 May,51.0
Busara Center,Consultant - Micro-insurance Market Assessment,The Busara Center for Behavioral Economics is an advisory and research organization focused on evaluation and implementation of behavioral interventions in understudied countries and populations. Busa...,11 May,52.0
"DAI Kenya - Development Alternatives, Inc.","Communications Director, USAID Africa Trade and Investment (ATI) Program",DAI is a global development company working on the frontlines of international development consulting. We are committed to shaping a more livable world. We tackle fundamental social and economic devel...,11 May,53.0
Human Capital Synergies Africa Ltd,Global Research & Evidence Manager,"Human Capital Synergies (HCS) Africa is a Nairobi (Kenya) based, human resources professional services provider. I",11 May,53.0
International Rescue Committee,Senior Protection Analysis Specialist (Parental Leave Cover),"The International Rescue Committee is a global humanitarian aid, relief and development nongovernmental organization.",11 May,54.0
Crystal Recruit,Marketing Officer,Crystal Recruit is a boutique recruitment firm that specializes in matching the right talent to the right job opportunities across Africa. We go out of our way to find that missing person for your bus...,11 May,54.0
